# time identity distance inter intra
4174 0 201.002616 9.149119 19.650377
4175 0 205.441617 4.761747 30.642794
4176 0 209.145252 6.789000 24.856036
4177 0 213.773317 4.242940 20.096264
4178 0 204.879619 13.540619 17.096915
4179 0 202.184549 14.212588 19.010144
4180 0 209.916648 9.315453 12.867958
4181 0 214.834233 3.644082 16.555948
4182 0 203.115106 4.393201 15.188831
4183 0 212.945987 2.927266 14.837376
4184 0 217.598124 0.723958 13.272091
4185 0 208.486556 1.839673 12.974480
4186 0 209.055115 2.133638 11.540322
4187 1 193.352190 10.885412 13.338494
4188 0 196.563174 6.394249 20.662821
4189 1 188.312395 10.678163 17.960980
4190 1 185.076975 17.673003 23.748664
4191 0 190.321479 7.324177 16.786405
4192 0 191.580511 5.540585 15.073349
4193 0 186.589111 6.911466 16.950977
4194 0 181.047502 5.012586 22.543119
4195 1 184.253611 10.547085 23.620108
4196 1 184.999327 13.420927 20.586995
4197 1 167.683563 27.702602 17.494522
4198 1 168.024063 24.540240 26.155274
4199 1 157.270297 47.520775 29.760147
4200 1 155.353122 47.269047 15.724176
4201 1 158.862887 53.192392 10.792647
4202 1 152.287325 71.904744 16.108602
4203 1 152.516944 48.851346 15.761193
4204 1 141.127748 84.464610 16.535210
4205 1 146.573707 73.670557 13.532792
4206 1 145.000695 91.485705 10.735916
4207 1 144.742010 101.217514 16.688637
4208 1 143.355660 99.278098 20.466753
4209 1 149.033610 95.982952 15.571481
4210 1 147.354560 104.513009 14.565434
4211 1 148.832590 108.320057 17.777573
4212 1 151.984928 106.096083 15.808275
4213 1 155.547114 94.337694 17.263341
4214 1 156.414190 82.856965 12.826494
4215 1 149.854982 96.935990 17.003879
4216 1 143.830042 112.055228 19.345530
4217 1 146.692912 106.930636 24.583197
4218 1 138.119541 103.990440 14.033301
4219 1 132.828858 111.610057 16.096338
4220 1 136.640857 110.638178 11.513917
4221 1 131.651672 114.729272 14.755678
4222 1 131.164228 119.087961 19.101373
4223 1 131.817294 124.067798 15.417420
4224 1 136.483743 115.843117 11.402817
4225 1 134.957404 117.714495 10.081429
4226 1 127.906491 127.446694 11.415066
4227 1 132.765514 118.298258 10.371125
4228 1 125.754466 121.839915 13.730267
4229 1 120.009707 127.029081 14.908988
4230 1 118.485340 142.980514 12.834477
4231 1 119.610406 144.822274 14.633423
4232 1 116.784700 144.192438 19.884845
4233 1 113.136895 134.736802 16.855601
4234 1 110.893180 132.923014 22.411792
4235 1 101.267576 145.259588 18.016905
4236 1 103.531659 134.253392 17.039650
4237 1 102.250672 142.577393 17.676787
4238 1 105.539585 142.815370 22.014326
4239 1 107.151004 150.418568 20.880785
4240 1 105.448687 159.402853 21.515360
4241 1 101.611451 169.323978 20.387432
4242 1 105.218707 145.615789 17.839349
4243 1 111.284818 146.502296 21.703548
4244 1 113.856867 138.550386 19.626354
4245 1 114.782023 155.559451 16.607896
4246 1 115.485520 130.753648 14.339345
4247 1 122.795568 112.710681 15.248330
4248 1 126.768986 108.717435 17.200355
4249 1 125.501258 108.470105 15.555823
4250 1 120.816081 78.041185 21.592770
4251 1 111.307801 98.313537 28.502610
4252 1 110.128569 89.167495 27.249673
4253 1 102.020518 99.362000 21.768154
4254 1 105.418627 109.545504 18.895422
4255 1 106.115855 113.098858 16.796154
4256 1 107.110997 107.948249 17.745665
4257 1 115.730934 76.911305 19.385785
4258 1 115.746461 98.413809 18.643900
4259 1 123.509096 89.017102 19.192736
4260 1 122.961850 98.158079 16.190446
4261 1 121.481294 100.220283 23.134329
4262 1 120.738613 86.371026 24.284492
4263 1 132.391214 74.695896 17.894847
4264 1 125.103380 76.121656 16.699048
4265 1 119.530506 103.004612 24.273266
4266 1 114.008366 119.959659 23.663856
4267 1 111.599251 130.174632 21.296702
4268 1 115.644324 104.327169 26.347152
4269 1 109.752289 105.775826 24.032157
4270 1 107.594886 102.513196 21.285647
4271 1 114.265890 84.848392 26.937549
4272 1 109.784887 97.939708 25.974117
4273 1 102.158692 113.334935 18.162144
4274 1 104.674677 127.110377 32.946307
4275 1 99.757740 119.518950 22.234792
4276 1 100.527641 123.942500 21.460493
4277 1 103.028135 127.725518 23.537185
4278 1 92.818915 135.146676 31.255228
4279 1 99.774740 108.344475 29.882086
4280 1 98.205719 117.993229 28.748402
4281 1 96.028293 114.850949 34.544078
4282 1 99.488989 118.556036 29.962403
4283 1 102.572270 98.661260 30.119118
4284 1 109.138950 99.991772 29.771741
4285 1 112.197317 92.279792 22.103631
4286 1 108.162786 107.214933 22.996604
4287 1 98.838909 105.404966 22.158945
4288 1 91.611446 120.233121 23.498861
4289 1 96.301413 109.097825 28.067655
4290 1 103.389900 108.316091 21.124878
4291 1 100.237243 107.090415 19.809492
4292 1 102.925556 98.965175 20.305715
4293 1 104.931875 94.578056 24.482822
4294 1 106.386812 91.490184 26.243829
4295 1 113.820399 81.273593 18.340769
4296 1 129.137520 58.276943 17.833251
4297 1 123.786398 67.543354 18.907512
4298 1 119.756615 76.550306 25.974090
4299 1 120.884600 77.676245 20.413990
4300 1 121.469995 83.429133 25.965102
4301 1 124.962107 72.957322 24.707434
4302 1 120.132691 76.453360 25.810905
4303 1 118.064430 68.286541 13.204860
4304 1 117.203226 67.007745 18.129504
4305 1 113.303796 63.571217 24.446597
4306 1 101.890396 88.825527 17.403096
4307 1 99.534771 96.504964 13.472791
4308 1 97.650146 113.812189 17.271759
4309 1 93.062285 113.988834 18.009789
4310 1 97.618121 97.450572 17.685476
4311 1 90.693859 112.592954 16.329617
4312 1 89.120974 121.617431 16.805843
4313 1 86.141496 129.596584 15.159075
4314 1 84.290994 140.450736 16.544260
4315 1 76.911641 142.713227 16.614384
4316 1 80.100431 159.465804 16.177329
4317 1 85.423875 136.729022 12.946180
4318 1 96.614464 129.739574 12.442075
4319 1 93.932555 120.770423 14.074889
4320 1 105.532323 96.154367 14.120275
4321 1 107.303307 103.581613 14.361919
4322 1 110.111750 104.828040 21.278378
4323 1 112.083040 107.289148 18.507580
4324 1 117.040260 98.457688 19.236965
4325 1 117.181461 83.519802 18.584324
4326 1 113.597559 109.190986 18.555218
4327 1 116.741209 116.805946 12.117518
4328 1 115.298187 111.035694 12.713642
4329 1 104.373716 117.764192 12.774044
4330 1 114.589688 104.071480 13.419228
4331 1 111.524968 108.494723 11.947355
4332 1 109.766996 115.673150 9.895348
4333 1 101.347967 136.399584 13.477321
4334 1 96.864700 124.234495 12.539915
4335 1 92.693325 123.918587 11.665212
4336 1 101.249440 114.331904 13.477176
4337 1 96.622272 133.319555 8.304457
4338 1 92.753078 144.095464 9.649983
4339 1 96.938977 111.620215 12.883909
4340 1 105.529245 108.257019 13.934735
4341 1 106.824207 103.344170 13.271264
4342 1 111.934106 95.822976 13.609996
4343 1 112.522701 91.600371 14.908992
4344 1 120.002822 72.076592 20.778798
4345 1 115.700212 91.568931 17.596006
4346 1 105.490093 117.556167 18.995584
4347 1 105.453151 106.584586 18.452770
4348 1 105.031238 104.178896 24.307419
4349 1 112.470565 107.648967 19.867360
4350 1 119.517156 80.761768 20.765967
4351 1 118.727120 88.722849 19.133325
4352 1 117.316892 94.936731 18.937203
4353 1 115.995878 99.188044 23.362183
4354 1 115.777621 109.636198 18.509747
4355 1 110.712910 120.087052 15.976167
4356 1 104.568616 142.320628 18.068401
